start_entity,label,end_entity,label,relationship
风扇端,fault_level_1,FAULT,fault_level_0,属于
风扇端_滚动体,fault_level_2,风扇端,fault_level_1,属于
风扇端_滚动体_深度7,fault,风扇端_滚动体,fault,属于
风扇端_滚动体_深度7_载荷0,fault,风扇端_滚动体_深度7,fault,属于
风扇端_滚动体_深度7_载荷0_点钟3,feature,风扇端_滚动体_深度7_载荷0,fault,属于
风扇端_滚动体_深度7_载荷0_点钟6,feature,风扇端_滚动体_深度7_载荷0,fault,属于
风扇端_滚动体_深度7_载荷0_点钟12,feature,风扇端_滚动体_深度7_载荷0,fault,属于
风扇端_滚动体_深度7_载荷1,fault,风扇端_滚动体_深度7,fault,属于
风扇端_滚动体_深度7_载荷1_点钟3,feature,风扇端_滚动体_深度7_载荷1,fault,属于
风扇端_滚动体_深度7_载荷1_点钟6,feature,风扇端_滚动体_深度7_载荷1,fault,属于
风扇端_滚动体_深度7_载荷1_点钟12,feature,风扇端_滚动体_深度7_载荷1,fault,属于
风扇端_滚动体_深度7_载荷2,fault,风扇端_滚动体_深度7,fault,属于
风扇端_滚动体_深度7_载荷2_点钟3,feature,风扇端_滚动体_深度7_载荷2,fault,属于
风扇端_滚动体_深度7_载荷2_点钟6,feature,风扇端_滚动体_深度7_载荷2,fault,属于
风扇端_滚动体_深度7_载荷2_点钟12,feature,风扇端_滚动体_深度7_载荷2,fault,属于
风扇端_滚动体_深度7_载荷3,fault,风扇端_滚动体_深度7,fault,属于
风扇端_滚动体_深度7_载荷3_点钟3,feature,风扇端_滚动体_深度7_载荷3,fault,属于
风扇端_滚动体_深度7_载荷3_点钟6,feature,风扇端_滚动体_深度7_载荷3,fault,属于
风扇端_滚动体_深度7_载荷3_点钟12,feature,风扇端_滚动体_深度7_载荷3,fault,属于
风扇端_滚动体_深度14,fault,风扇端_滚动体,fault,属于
风扇端_滚动体_深度14_载荷0,fault,风扇端_滚动体_深度14,fault,属于
风扇端_滚动体_深度14_载荷0_点钟3,feature,风扇端_滚动体_深度14_载荷0,fault,属于
风扇端_滚动体_深度14_载荷0_点钟6,feature,风扇端_滚动体_深度14_载荷0,fault,属于
风扇端_滚动体_深度14_载荷0_点钟12,feature,风扇端_滚动体_深度14_载荷0,fault,属于
风扇端_滚动体_深度14_载荷1,fault,风扇端_滚动体_深度14,fault,属于
风扇端_滚动体_深度14_载荷1_点钟3,feature,风扇端_滚动体_深度14_载荷1,fault,属于
风扇端_滚动体_深度14_载荷1_点钟6,feature,风扇端_滚动体_深度14_载荷1,fault,属于
风扇端_滚动体_深度14_载荷1_点钟12,feature,风扇端_滚动体_深度14_载荷1,fault,属于
风扇端_滚动体_深度14_载荷2,fault,风扇端_滚动体_深度14,fault,属于
风扇端_滚动体_深度14_载荷2_点钟3,feature,风扇端_滚动体_深度14_载荷2,fault,属于
风扇端_滚动体_深度14_载荷2_点钟6,feature,风扇端_滚动体_深度14_载荷2,fault,属于
风扇端_滚动体_深度14_载荷2_点钟12,feature,风扇端_滚动体_深度14_载荷2,fault,属于
风扇端_滚动体_深度14_载荷3,fault,风扇端_滚动体_深度14,fault,属于
风扇端_滚动体_深度14_载荷3_点钟3,feature,风扇端_滚动体_深度14_载荷3,fault,属于
风扇端_滚动体_深度14_载荷3_点钟6,feature,风扇端_滚动体_深度14_载荷3,fault,属于
风扇端_滚动体_深度14_载荷3_点钟12,feature,风扇端_滚动体_深度14_载荷3,fault,属于
风扇端_滚动体_深度21,fault,风扇端_滚动体,fault,属于
风扇端_滚动体_深度21_载荷0,fault,风扇端_滚动体_深度21,fault,属于
风扇端_滚动体_深度21_载荷0_点钟3,feature,风扇端_滚动体_深度21_载荷0,fault,属于
风扇端_滚动体_深度21_载荷0_点钟6,feature,风扇端_滚动体_深度21_载荷0,fault,属于
风扇端_滚动体_深度21_载荷0_点钟12,feature,风扇端_滚动体_深度21_载荷0,fault,属于
风扇端_滚动体_深度21_载荷1,fault,风扇端_滚动体_深度21,fault,属于
风扇端_滚动体_深度21_载荷1_点钟3,feature,风扇端_滚动体_深度21_载荷1,fault,属于
风扇端_滚动体_深度21_载荷1_点钟6,feature,风扇端_滚动体_深度21_载荷1,fault,属于
风扇端_滚动体_深度21_载荷1_点钟12,feature,风扇端_滚动体_深度21_载荷1,fault,属于
风扇端_滚动体_深度21_载荷2,fault,风扇端_滚动体_深度21,fault,属于
风扇端_滚动体_深度21_载荷2_点钟3,feature,风扇端_滚动体_深度21_载荷2,fault,属于
风扇端_滚动体_深度21_载荷2_点钟6,feature,风扇端_滚动体_深度21_载荷2,fault,属于
风扇端_滚动体_深度21_载荷2_点钟12,feature,风扇端_滚动体_深度21_载荷2,fault,属于
风扇端_滚动体_深度21_载荷3,fault,风扇端_滚动体_深度21,fault,属于
风扇端_滚动体_深度21_载荷3_点钟3,feature,风扇端_滚动体_深度21_载荷3,fault,属于
风扇端_滚动体_深度21_载荷3_点钟6,feature,风扇端_滚动体_深度21_载荷3,fault,属于
风扇端_滚动体_深度21_载荷3_点钟12,feature,风扇端_滚动体_深度21_载荷3,fault,属于
风扇端_内圈,fault_level_2,风扇端,fault_level_1,属于
风扇端_内圈_深度7,fault,风扇端_内圈,fault,属于
风扇端_内圈_深度7_载荷0,fault,风扇端_内圈_深度7,fault,属于
风扇端_内圈_深度7_载荷0_点钟3,feature,风扇端_内圈_深度7_载荷0,fault,属于
风扇端_内圈_深度7_载荷0_点钟6,feature,风扇端_内圈_深度7_载荷0,fault,属于
风扇端_内圈_深度7_载荷0_点钟12,feature,风扇端_内圈_深度7_载荷0,fault,属于
风扇端_内圈_深度7_载荷1,fault,风扇端_内圈_深度7,fault,属于
风扇端_内圈_深度7_载荷1_点钟3,feature,风扇端_内圈_深度7_载荷1,fault,属于
风扇端_内圈_深度7_载荷1_点钟6,feature,风扇端_内圈_深度7_载荷1,fault,属于
风扇端_内圈_深度7_载荷1_点钟12,feature,风扇端_内圈_深度7_载荷1,fault,属于
风扇端_内圈_深度7_载荷2,fault,风扇端_内圈_深度7,fault,属于
风扇端_内圈_深度7_载荷2_点钟3,feature,风扇端_内圈_深度7_载荷2,fault,属于
风扇端_内圈_深度7_载荷2_点钟6,feature,风扇端_内圈_深度7_载荷2,fault,属于
风扇端_内圈_深度7_载荷2_点钟12,feature,风扇端_内圈_深度7_载荷2,fault,属于
风扇端_内圈_深度7_载荷3,fault,风扇端_内圈_深度7,fault,属于
风扇端_内圈_深度7_载荷3_点钟3,feature,风扇端_内圈_深度7_载荷3,fault,属于
风扇端_内圈_深度7_载荷3_点钟6,feature,风扇端_内圈_深度7_载荷3,fault,属于
风扇端_内圈_深度7_载荷3_点钟12,feature,风扇端_内圈_深度7_载荷3,fault,属于
风扇端_内圈_深度14,fault,风扇端_内圈,fault,属于
风扇端_内圈_深度14_载荷0,fault,风扇端_内圈_深度14,fault,属于
风扇端_内圈_深度14_载荷0_点钟3,feature,风扇端_内圈_深度14_载荷0,fault,属于
风扇端_内圈_深度14_载荷0_点钟6,feature,风扇端_内圈_深度14_载荷0,fault,属于
风扇端_内圈_深度14_载荷0_点钟12,feature,风扇端_内圈_深度14_载荷0,fault,属于
风扇端_内圈_深度14_载荷1,fault,风扇端_内圈_深度14,fault,属于
风扇端_内圈_深度14_载荷1_点钟3,feature,风扇端_内圈_深度14_载荷1,fault,属于
风扇端_内圈_深度14_载荷1_点钟6,feature,风扇端_内圈_深度14_载荷1,fault,属于
风扇端_内圈_深度14_载荷1_点钟12,feature,风扇端_内圈_深度14_载荷1,fault,属于
风扇端_内圈_深度14_载荷2,fault,风扇端_内圈_深度14,fault,属于
风扇端_内圈_深度14_载荷2_点钟3,feature,风扇端_内圈_深度14_载荷2,fault,属于
风扇端_内圈_深度14_载荷2_点钟6,feature,风扇端_内圈_深度14_载荷2,fault,属于
风扇端_内圈_深度14_载荷2_点钟12,feature,风扇端_内圈_深度14_载荷2,fault,属于
风扇端_内圈_深度14_载荷3,fault,风扇端_内圈_深度14,fault,属于
风扇端_内圈_深度14_载荷3_点钟3,feature,风扇端_内圈_深度14_载荷3,fault,属于
风扇端_内圈_深度14_载荷3_点钟6,feature,风扇端_内圈_深度14_载荷3,fault,属于
风扇端_内圈_深度14_载荷3_点钟12,feature,风扇端_内圈_深度14_载荷3,fault,属于
风扇端_内圈_深度21,fault,风扇端_内圈,fault,属于
风扇端_内圈_深度21_载荷0,fault,风扇端_内圈_深度21,fault,属于
风扇端_内圈_深度21_载荷0_点钟3,feature,风扇端_内圈_深度21_载荷0,fault,属于
风扇端_内圈_深度21_载荷0_点钟6,feature,风扇端_内圈_深度21_载荷0,fault,属于
风扇端_内圈_深度21_载荷0_点钟12,feature,风扇端_内圈_深度21_载荷0,fault,属于
风扇端_内圈_深度21_载荷1,fault,风扇端_内圈_深度21,fault,属于
风扇端_内圈_深度21_载荷1_点钟3,feature,风扇端_内圈_深度21_载荷1,fault,属于
风扇端_内圈_深度21_载荷1_点钟6,feature,风扇端_内圈_深度21_载荷1,fault,属于
风扇端_内圈_深度21_载荷1_点钟12,feature,风扇端_内圈_深度21_载荷1,fault,属于
风扇端_内圈_深度21_载荷2,fault,风扇端_内圈_深度21,fault,属于
风扇端_内圈_深度21_载荷2_点钟3,feature,风扇端_内圈_深度21_载荷2,fault,属于
风扇端_内圈_深度21_载荷2_点钟6,feature,风扇端_内圈_深度21_载荷2,fault,属于
风扇端_内圈_深度21_载荷2_点钟12,feature,风扇端_内圈_深度21_载荷2,fault,属于
风扇端_内圈_深度21_载荷3,fault,风扇端_内圈_深度21,fault,属于
风扇端_内圈_深度21_载荷3_点钟3,feature,风扇端_内圈_深度21_载荷3,fault,属于
风扇端_内圈_深度21_载荷3_点钟6,feature,风扇端_内圈_深度21_载荷3,fault,属于
风扇端_内圈_深度21_载荷3_点钟12,feature,风扇端_内圈_深度21_载荷3,fault,属于
风扇端_外圈,fault_level_2,风扇端,fault_level_1,属于
风扇端_外圈_深度7,fault,风扇端_外圈,fault,属于
风扇端_外圈_深度7_载荷0,fault,风扇端_外圈_深度7,fault,属于
风扇端_外圈_深度7_载荷0_点钟3,feature,风扇端_外圈_深度7_载荷0,fault,属于
风扇端_外圈_深度7_载荷0_点钟6,feature,风扇端_外圈_深度7_载荷0,fault,属于
风扇端_外圈_深度7_载荷0_点钟12,feature,风扇端_外圈_深度7_载荷0,fault,属于
风扇端_外圈_深度7_载荷1,fault,风扇端_外圈_深度7,fault,属于
风扇端_外圈_深度7_载荷1_点钟3,feature,风扇端_外圈_深度7_载荷1,fault,属于
风扇端_外圈_深度7_载荷1_点钟6,feature,风扇端_外圈_深度7_载荷1,fault,属于
风扇端_外圈_深度7_载荷1_点钟12,feature,风扇端_外圈_深度7_载荷1,fault,属于
风扇端_外圈_深度7_载荷2,fault,风扇端_外圈_深度7,fault,属于
风扇端_外圈_深度7_载荷2_点钟3,feature,风扇端_外圈_深度7_载荷2,fault,属于
风扇端_外圈_深度7_载荷2_点钟6,feature,风扇端_外圈_深度7_载荷2,fault,属于
风扇端_外圈_深度7_载荷2_点钟12,feature,风扇端_外圈_深度7_载荷2,fault,属于
风扇端_外圈_深度7_载荷3,fault,风扇端_外圈_深度7,fault,属于
风扇端_外圈_深度7_载荷3_点钟3,feature,风扇端_外圈_深度7_载荷3,fault,属于
风扇端_外圈_深度7_载荷3_点钟6,feature,风扇端_外圈_深度7_载荷3,fault,属于
风扇端_外圈_深度7_载荷3_点钟12,feature,风扇端_外圈_深度7_载荷3,fault,属于
风扇端_外圈_深度14,fault,风扇端_外圈,fault,属于
风扇端_外圈_深度14_载荷0,fault,风扇端_外圈_深度14,fault,属于
风扇端_外圈_深度14_载荷0_点钟3,feature,风扇端_外圈_深度14_载荷0,fault,属于
风扇端_外圈_深度14_载荷0_点钟6,feature,风扇端_外圈_深度14_载荷0,fault,属于
风扇端_外圈_深度14_载荷0_点钟12,feature,风扇端_外圈_深度14_载荷0,fault,属于
风扇端_外圈_深度14_载荷1,fault,风扇端_外圈_深度14,fault,属于
风扇端_外圈_深度14_载荷1_点钟3,feature,风扇端_外圈_深度14_载荷1,fault,属于
风扇端_外圈_深度14_载荷1_点钟6,feature,风扇端_外圈_深度14_载荷1,fault,属于
风扇端_外圈_深度14_载荷1_点钟12,feature,风扇端_外圈_深度14_载荷1,fault,属于
风扇端_外圈_深度14_载荷2,fault,风扇端_外圈_深度14,fault,属于
风扇端_外圈_深度14_载荷2_点钟3,feature,风扇端_外圈_深度14_载荷2,fault,属于
风扇端_外圈_深度14_载荷2_点钟6,feature,风扇端_外圈_深度14_载荷2,fault,属于
风扇端_外圈_深度14_载荷2_点钟12,feature,风扇端_外圈_深度14_载荷2,fault,属于
风扇端_外圈_深度14_载荷3,fault,风扇端_外圈_深度14,fault,属于
风扇端_外圈_深度14_载荷3_点钟3,feature,风扇端_外圈_深度14_载荷3,fault,属于
风扇端_外圈_深度14_载荷3_点钟6,feature,风扇端_外圈_深度14_载荷3,fault,属于
风扇端_外圈_深度14_载荷3_点钟12,feature,风扇端_外圈_深度14_载荷3,fault,属于
风扇端_外圈_深度21,fault,风扇端_外圈,fault,属于
风扇端_外圈_深度21_载荷0,fault,风扇端_外圈_深度21,fault,属于
风扇端_外圈_深度21_载荷0_点钟3,feature,风扇端_外圈_深度21_载荷0,fault,属于
风扇端_外圈_深度21_载荷0_点钟6,feature,风扇端_外圈_深度21_载荷0,fault,属于
风扇端_外圈_深度21_载荷0_点钟12,feature,风扇端_外圈_深度21_载荷0,fault,属于
风扇端_外圈_深度21_载荷1,fault,风扇端_外圈_深度21,fault,属于
风扇端_外圈_深度21_载荷1_点钟3,feature,风扇端_外圈_深度21_载荷1,fault,属于
风扇端_外圈_深度21_载荷1_点钟6,feature,风扇端_外圈_深度21_载荷1,fault,属于
风扇端_外圈_深度21_载荷1_点钟12,feature,风扇端_外圈_深度21_载荷1,fault,属于
风扇端_外圈_深度21_载荷2,fault,风扇端_外圈_深度21,fault,属于
风扇端_外圈_深度21_载荷2_点钟3,feature,风扇端_外圈_深度21_载荷2,fault,属于
风扇端_外圈_深度21_载荷2_点钟6,feature,风扇端_外圈_深度21_载荷2,fault,属于
风扇端_外圈_深度21_载荷2_点钟12,feature,风扇端_外圈_深度21_载荷2,fault,属于
风扇端_外圈_深度21_载荷3,fault,风扇端_外圈_深度21,fault,属于
风扇端_外圈_深度21_载荷3_点钟3,feature,风扇端_外圈_深度21_载荷3,fault,属于
风扇端_外圈_深度21_载荷3_点钟6,feature,风扇端_外圈_深度21_载荷3,fault,属于
