no驱动端ID,name,type,驱动端scribe,驱动端_min,驱动端_max,驱动端_mean,驱动端_std,风扇端_min,风扇端_max,风扇端_mean,风扇端_std,BA_min,BA_max,BA_mean,BA_std
风扇端_滚动体_深度7_载荷0_点钟3,feature,风扇端_滚动体_深度7_载荷0_点钟3,,,,,,,,,,,,,
风扇端_滚动体_深度7_载荷0_点钟6,feature,风扇端_滚动体_深度7_载荷0_点钟6,,,,,,,,,,,,,
风扇端_滚动体_深度7_载荷0_点钟12,feature,风扇端_滚动体_深度7_载荷0_点钟12,,,,,,,,,,,,,
风扇端_滚动体_深度7_载荷1_点钟3,feature,风扇端_滚动体_深度7_载荷1_点钟3,,,,,,,,,,,,,
风扇端_滚动体_深度7_载荷1_点钟6,feature,风扇端_滚动体_深度7_载荷1_点钟6,,,,,,,,,,,,,
风扇端_滚动体_深度7_载荷1_点钟12,feature,风扇端_滚动体_深度7_载荷1_点钟12,,,,,,,,,,,,,
风扇端_滚动体_深度7_载荷2_点钟3,feature,风扇端_滚动体_深度7_载荷2_点钟3,,,,,,,,,,,,,
风扇端_滚动体_深度7_载荷2_点钟6,feature,风扇端_滚动体_深度7_载荷2_点钟6,,,,,,,,,,,,,
风扇端_滚动体_深度7_载荷2_点钟12,feature,风扇端_滚动体_深度7_载荷2_点钟12,,,,,,,,,,,,,
风扇端_滚动体_深度7_载荷3_点钟3,feature,风扇端_滚动体_深度7_载荷3_点钟3,,,,,,,,,,,,,
风扇端_滚动体_深度7_载荷3_点钟6,feature,风扇端_滚动体_深度7_载荷3_点钟6,,,,,,,,,,,,,
风扇端_滚动体_深度7_载荷3_点钟12,feature,风扇端_滚动体_深度7_载荷3_点钟12,,,,,,,,,,,,,
风扇端_滚动体_深度14_载荷0_点钟3,feature,风扇端_滚动体_深度14_载荷0_点钟3,,,,,,,,,,,,,
风扇端_滚动体_深度14_载荷0_点钟6,feature,风扇端_滚动体_深度14_载荷0_点钟6,,,,,,,,,,,,,
风扇端_滚动体_深度14_载荷0_点钟12,feature,风扇端_滚动体_深度14_载荷0_点钟12,,,,,,,,,,,,,
风扇端_滚动体_深度14_载荷1_点钟3,feature,风扇端_滚动体_深度14_载荷1_点钟3,,,,,,,,,,,,,
风扇端_滚动体_深度14_载荷1_点钟6,feature,风扇端_滚动体_深度14_载荷1_点钟6,,,,,,,,,,,,,
风扇端_滚动体_深度14_载荷1_点钟12,feature,风扇端_滚动体_深度14_载荷1_点钟12,,,,,,,,,,,,,
风扇端_滚动体_深度14_载荷2_点钟3,feature,风扇端_滚动体_深度14_载荷2_点钟3,,,,,,,,,,,,,
风扇端_滚动体_深度14_载荷2_点钟6,feature,风扇端_滚动体_深度14_载荷2_点钟6,,,,,,,,,,,,,
风扇端_滚动体_深度14_载荷2_点钟12,feature,风扇端_滚动体_深度14_载荷2_点钟12,,,,,,,,,,,,,
风扇端_滚动体_深度14_载荷3_点钟3,feature,风扇端_滚动体_深度14_载荷3_点钟3,,,,,,,,,,,,,
风扇端_滚动体_深度14_载荷3_点钟6,feature,风扇端_滚动体_深度14_载荷3_点钟6,,,,,,,,,,,,,
风扇端_滚动体_深度14_载荷3_点钟12,feature,风扇端_滚动体_深度14_载荷3_点钟12,,,,,,,,,,,,,
风扇端_滚动体_深度21_载荷0_点钟3,feature,风扇端_滚动体_深度21_载荷0_点钟3,,,,,,,,,,,,,
风扇端_滚动体_深度21_载荷0_点钟6,feature,风扇端_滚动体_深度21_载荷0_点钟6,,,,,,,,,,,,,
风扇端_滚动体_深度21_载荷0_点钟12,feature,风扇端_滚动体_深度21_载荷0_点钟12,,,,,,,,,,,,,
风扇端_滚动体_深度21_载荷1_点钟3,feature,风扇端_滚动体_深度21_载荷1_点钟3,,,,,,,,,,,,,
风扇端_滚动体_深度21_载荷1_点钟6,feature,风扇端_滚动体_深度21_载荷1_点钟6,,,,,,,,,,,,,
风扇端_滚动体_深度21_载荷1_点钟12,feature,风扇端_滚动体_深度21_载荷1_点钟12,,,,,,,,,,,,,
风扇端_滚动体_深度21_载荷2_点钟3,feature,风扇端_滚动体_深度21_载荷2_点钟3,,,,,,,,,,,,,
风扇端_滚动体_深度21_载荷2_点钟6,feature,风扇端_滚动体_深度21_载荷2_点钟6,,,,,,,,,,,,,
风扇端_滚动体_深度21_载荷2_点钟12,feature,风扇端_滚动体_深度21_载荷2_点钟12,,,,,,,,,,,,,
风扇端_滚动体_深度21_载荷3_点钟3,feature,风扇端_滚动体_深度21_载荷3_点钟3,,,,,,,,,,,,,
风扇端_滚动体_深度21_载荷3_点钟6,feature,风扇端_滚动体_深度21_载荷3_点钟6,,,,,,,,,,,,,
风扇端_滚动体_深度21_载荷3_点钟12,feature,风扇端_滚动体_深度21_载荷3_点钟12,,,,,,,,,,,,,
风扇端_内圈_深度7_载荷0_点钟3,feature,风扇端_内圈_深度7_载荷0_点钟3,,,,,,,,,,,,,
风扇端_内圈_深度7_载荷0_点钟6,feature,风扇端_内圈_深度7_载荷0_点钟6,,,,,,,,,,,,,
风扇端_内圈_深度7_载荷0_点钟12,feature,风扇端_内圈_深度7_载荷0_点钟12,,,,,,,,,,,,,
风扇端_内圈_深度7_载荷1_点钟3,feature,风扇端_内圈_深度7_载荷1_点钟3,,,,,,,,,,,,,
风扇端_内圈_深度7_载荷1_点钟6,feature,风扇端_内圈_深度7_载荷1_点钟6,,,,,,,,,,,,,
风扇端_内圈_深度7_载荷1_点钟12,feature,风扇端_内圈_深度7_载荷1_点钟12,,,,,,,,,,,,,
风扇端_内圈_深度7_载荷2_点钟3,feature,风扇端_内圈_深度7_载荷2_点钟3,,,,,,,,,,,,,
风扇端_内圈_深度7_载荷2_点钟6,feature,风扇端_内圈_深度7_载荷2_点钟6,,,,,,,,,,,,,
风扇端_内圈_深度7_载荷2_点钟12,feature,风扇端_内圈_深度7_载荷2_点钟12,,,,,,,,,,,,,
风扇端_内圈_深度7_载荷3_点钟3,feature,风扇端_内圈_深度7_载荷3_点钟3,,,,,,,,,,,,,
风扇端_内圈_深度7_载荷3_点钟6,feature,风扇端_内圈_深度7_载荷3_点钟6,,,,,,,,,,,,,
风扇端_内圈_深度7_载荷3_点钟12,feature,风扇端_内圈_深度7_载荷3_点钟12,,,,,,,,,,,,,
风扇端_内圈_深度14_载荷0_点钟3,feature,风扇端_内圈_深度14_载荷0_点钟3,,,,,,,,,,,,,
风扇端_内圈_深度14_载荷0_点钟6,feature,风扇端_内圈_深度14_载荷0_点钟6,,,,,,,,,,,,,
风扇端_内圈_深度14_载荷0_点钟12,feature,风扇端_内圈_深度14_载荷0_点钟12,,,,,,,,,,,,,
风扇端_内圈_深度14_载荷1_点钟3,feature,风扇端_内圈_深度14_载荷1_点钟3,,,,,,,,,,,,,
风扇端_内圈_深度14_载荷1_点钟6,feature,风扇端_内圈_深度14_载荷1_点钟6,,,,,,,,,,,,,
风扇端_内圈_深度14_载荷1_点钟12,feature,风扇端_内圈_深度14_载荷1_点钟12,,,,,,,,,,,,,
风扇端_内圈_深度14_载荷2_点钟3,feature,风扇端_内圈_深度14_载荷2_点钟3,,,,,,,,,,,,,
风扇端_内圈_深度14_载荷2_点钟6,feature,风扇端_内圈_深度14_载荷2_点钟6,,,,,,,,,,,,,
风扇端_内圈_深度14_载荷2_点钟12,feature,风扇端_内圈_深度14_载荷2_点钟12,,,,,,,,,,,,,
风扇端_内圈_深度14_载荷3_点钟3,feature,风扇端_内圈_深度14_载荷3_点钟3,,,,,,,,,,,,,
风扇端_内圈_深度14_载荷3_点钟6,feature,风扇端_内圈_深度14_载荷3_点钟6,,,,,,,,,,,,,
风扇端_内圈_深度14_载荷3_点钟12,feature,风扇端_内圈_深度14_载荷3_点钟12,,,,,,,,,,,,,
风扇端_内圈_深度21_载荷0_点钟3,feature,风扇端_内圈_深度21_载荷0_点钟3,,,,,,,,,,,,,
风扇端_内圈_深度21_载荷0_点钟6,feature,风扇端_内圈_深度21_载荷0_点钟6,,,,,,,,,,,,,
风扇端_内圈_深度21_载荷0_点钟12,feature,风扇端_内圈_深度21_载荷0_点钟12,,,,,,,,,,,,,
风扇端_内圈_深度21_载荷1_点钟3,feature,风扇端_内圈_深度21_载荷1_点钟3,,,,,,,,,,,,,
风扇端_内圈_深度21_载荷1_点钟6,feature,风扇端_内圈_深度21_载荷1_点钟6,,,,,,,,,,,,,
风扇端_内圈_深度21_载荷1_点钟12,feature,风扇端_内圈_深度21_载荷1_点钟12,,,,,,,,,,,,,
风扇端_内圈_深度21_载荷2_点钟3,feature,风扇端_内圈_深度21_载荷2_点钟3,,,,,,,,,,,,,
风扇端_内圈_深度21_载荷2_点钟6,feature,风扇端_内圈_深度21_载荷2_点钟6,,,,,,,,,,,,,
风扇端_内圈_深度21_载荷2_点钟12,feature,风扇端_内圈_深度21_载荷2_点钟12,,,,,,,,,,,,,
风扇端_内圈_深度21_载荷3_点钟3,feature,风扇端_内圈_深度21_载荷3_点钟3,,,,,,,,,,,,,
风扇端_内圈_深度21_载荷3_点钟6,feature,风扇端_内圈_深度21_载荷3_点钟6,,,,,,,,,,,,,
风扇端_内圈_深度21_载荷3_点钟12,feature,风扇端_内圈_深度21_载荷3_点钟12,,,,,,,,,,,,,
风扇端_外圈_深度7_载荷0_点钟3,feature,风扇端_外圈_深度7_载荷0_点钟3,,,,,,,,,,,,,
风扇端_外圈_深度7_载荷0_点钟6,feature,风扇端_外圈_深度7_载荷0_点钟6,,,,,,,,,,,,,
风扇端_外圈_深度7_载荷0_点钟12,feature,风扇端_外圈_深度7_载荷0_点钟12,,,,,,,,,,,,,
风扇端_外圈_深度7_载荷1_点钟3,feature,风扇端_外圈_深度7_载荷1_点钟3,,,,,,,,,,,,,
风扇端_外圈_深度7_载荷1_点钟6,feature,风扇端_外圈_深度7_载荷1_点钟6,,,,,,,,,,,,,
风扇端_外圈_深度7_载荷1_点钟12,feature,风扇端_外圈_深度7_载荷1_点钟12,,,,,,,,,,,,,
风扇端_外圈_深度7_载荷2_点钟3,feature,风扇端_外圈_深度7_载荷2_点钟3,,,,,,,,,,,,,
风扇端_外圈_深度7_载荷2_点钟6,feature,风扇端_外圈_深度7_载荷2_点钟6,,,,,,,,,,,,,
风扇端_外圈_深度7_载荷2_点钟12,feature,风扇端_外圈_深度7_载荷2_点钟12,,,,,,,,,,,,,
风扇端_外圈_深度7_载荷3_点钟3,feature,风扇端_外圈_深度7_载荷3_点钟3,,,,,,,,,,,,,
风扇端_外圈_深度7_载荷3_点钟6,feature,风扇端_外圈_深度7_载荷3_点钟6,,,,,,,,,,,,,
风扇端_外圈_深度7_载荷3_点钟12,feature,风扇端_外圈_深度7_载荷3_点钟12,,,,,,,,,,,,,
风扇端_外圈_深度14_载荷0_点钟3,feature,风扇端_外圈_深度14_载荷0_点钟3,,,,,,,,,,,,,
风扇端_外圈_深度14_载荷0_点钟6,feature,风扇端_外圈_深度14_载荷0_点钟6,,,,,,,,,,,,,
风扇端_外圈_深度14_载荷0_点钟12,feature,风扇端_外圈_深度14_载荷0_点钟12,,,,,,,,,,,,,
风扇端_外圈_深度14_载荷1_点钟3,feature,风扇端_外圈_深度14_载荷1_点钟3,,,,,,,,,,,,,
风扇端_外圈_深度14_载荷1_点钟6,feature,风扇端_外圈_深度14_载荷1_点钟6,,,,,,,,,,,,,
风扇端_外圈_深度14_载荷1_点钟12,feature,风扇端_外圈_深度14_载荷1_点钟12,,,,,,,,,,,,,
风扇端_外圈_深度14_载荷2_点钟3,feature,风扇端_外圈_深度14_载荷2_点钟3,,,,,,,,,,,,,
风扇端_外圈_深度14_载荷2_点钟6,feature,风扇端_外圈_深度14_载荷2_点钟6,,,,,,,,,,,,,
风扇端_外圈_深度14_载荷2_点钟12,feature,风扇端_外圈_深度14_载荷2_点钟12,,,,,,,,,,,,,
风扇端_外圈_深度14_载荷3_点钟3,feature,风扇端_外圈_深度14_载荷3_点钟3,,,,,,,,,,,,,
风扇端_外圈_深度14_载荷3_点钟6,feature,风扇端_外圈_深度14_载荷3_点钟6,,,,,,,,,,,,,
风扇端_外圈_深度14_载荷3_点钟12,feature,风扇端_外圈_深度14_载荷3_点钟12,,,,,,,,,,,,,
风扇端_外圈_深度21_载荷0_点钟3,feature,风扇端_外圈_深度21_载荷0_点钟3,,,,,,,,,,,,,
风扇端_外圈_深度21_载荷0_点钟6,feature,风扇端_外圈_深度21_载荷0_点钟6,,,,,,,,,,,,,
风扇端_外圈_深度21_载荷0_点钟12,feature,风扇端_外圈_深度21_载荷0_点钟12,,,,,,,,,,,,,
风扇端_外圈_深度21_载荷1_点钟3,feature,风扇端_外圈_深度21_载荷1_点钟3,,,,,,,,,,,,,
风扇端_外圈_深度21_载荷1_点钟6,feature,风扇端_外圈_深度21_载荷1_点钟6,,,,,,,,,,,,,
风扇端_外圈_深度21_载荷1_点钟12,feature,风扇端_外圈_深度21_载荷1_点钟12,,,,,,,,,,,,,
风扇端_外圈_深度21_载荷2_点钟3,feature,风扇端_外圈_深度21_载荷2_点钟3,,,,,,,,,,,,,
风扇端_外圈_深度21_载荷2_点钟6,feature,风扇端_外圈_深度21_载荷2_点钟6,,,,,,,,,,,,,
风扇端_外圈_深度21_载荷2_点钟12,feature,风扇端_外圈_深度21_载荷2_点钟12,,,,,,,,,,,,,
风扇端_外圈_深度21_载荷3_点钟3,feature,风扇端_外圈_深度21_载荷3_点钟3,,,,,,,,,,,,,
风扇端_外圈_深度21_载荷3_点钟6,feature,风扇端_外圈_深度21_载荷3_点钟6,,,,,,,,,,,,,
风扇端_外圈_深度21_载荷3_点钟12,feature,风扇端_外圈_深度21_载荷3_点钟12,,,,,,,,,,,,,
驱动端_滚动体_深度7_载荷0_点钟3,feature,驱动端_滚动体_深度7_载荷0_点钟3,,,,,,,,,,,,,
驱动端_滚动体_深度7_载荷0_点钟6,feature,驱动端_滚动体_深度7_载荷0_点钟6,,,,,,,,,,,,,
驱动端_滚动体_深度7_载荷0_点钟12,feature,驱动端_滚动体_深度7_载荷0_点钟12,,,,,,,,,,,,,
驱动端_滚动体_深度7_载荷1_点钟3,feature,驱动端_滚动体_深度7_载荷1_点钟3,,,,,,,,,,,,,
驱动端_滚动体_深度7_载荷1_点钟6,feature,驱动端_滚动体_深度7_载荷1_点钟6,,,,,,,,,,,,,
驱动端_滚动体_深度7_载荷1_点钟12,feature,驱动端_滚动体_深度7_载荷1_点钟12,,,,,,,,,,,,,
驱动端_滚动体_深度7_载荷2_点钟3,feature,驱动端_滚动体_深度7_载荷2_点钟3,,,,,,,,,,,,,
驱动端_滚动体_深度7_载荷2_点钟6,feature,驱动端_滚动体_深度7_载荷2_点钟6,,,,,,,,,,,,,
驱动端_滚动体_深度7_载荷2_点钟12,feature,驱动端_滚动体_深度7_载荷2_点钟12,,,,,,,,,,,,,
驱动端_滚动体_深度7_载荷3_点钟3,feature,驱动端_滚动体_深度7_载荷3_点钟3,,,,,,,,,,,,,
驱动端_滚动体_深度7_载荷3_点钟6,feature,驱动端_滚动体_深度7_载荷3_点钟6,,,,,,,,,,,,,
驱动端_滚动体_深度7_载荷3_点钟12,feature,驱动端_滚动体_深度7_载荷3_点钟12,,,,,,,,,,,,,
驱动端_滚动体_深度14_载荷0_点钟3,feature,驱动端_滚动体_深度14_载荷0_点钟3,,,,,,,,,,,,,
驱动端_滚动体_深度14_载荷0_点钟6,feature,驱动端_滚动体_深度14_载荷0_点钟6,,,,,,,,,,,,,
驱动端_滚动体_深度14_载荷0_点钟12,feature,驱动端_滚动体_深度14_载荷0_点钟12,,,,,,,,,,,,,
驱动端_滚动体_深度14_载荷1_点钟3,feature,驱动端_滚动体_深度14_载荷1_点钟3,,,,,,,,,,,,,
驱动端_滚动体_深度14_载荷1_点钟6,feature,驱动端_滚动体_深度14_载荷1_点钟6,,,,,,,,,,,,,
驱动端_滚动体_深度14_载荷1_点钟12,feature,驱动端_滚动体_深度14_载荷1_点钟12,,,,,,,,,,,,,
驱动端_滚动体_深度14_载荷2_点钟3,feature,驱动端_滚动体_深度14_载荷2_点钟3,,,,,,,,,,,,,
驱动端_滚动体_深度14_载荷2_点钟6,feature,驱动端_滚动体_深度14_载荷2_点钟6,,,,,,,,,,,,,
驱动端_滚动体_深度14_载荷2_点钟12,feature,驱动端_滚动体_深度14_载荷2_点钟12,,,,,,,,,,,,,
驱动端_滚动体_深度14_载荷3_点钟3,feature,驱动端_滚动体_深度14_载荷3_点钟3,,,,,,,,,,,,,
驱动端_滚动体_深度14_载荷3_点钟6,feature,驱动端_滚动体_深度14_载荷3_点钟6,,,,,,,,,,,,,
驱动端_滚动体_深度14_载荷3_点钟12,feature,驱动端_滚动体_深度14_载荷3_点钟12,,,,,,,,,,,,,
驱动端_滚动体_深度21_载荷0_点钟3,feature,驱动端_滚动体_深度21_载荷0_点钟3,,,,,,,,,,,,,
驱动端_滚动体_深度21_载荷0_点钟6,feature,驱动端_滚动体_深度21_载荷0_点钟6,,,,,,,,,,,,,
驱动端_滚动体_深度21_载荷0_点钟12,feature,驱动端_滚动体_深度21_载荷0_点钟12,,,,,,,,,,,,,
驱动端_滚动体_深度21_载荷1_点钟3,feature,驱动端_滚动体_深度21_载荷1_点钟3,,,,,,,,,,,,,
驱动端_滚动体_深度21_载荷1_点钟6,feature,驱动端_滚动体_深度21_载荷1_点钟6,,,,,,,,,,,,,
驱动端_滚动体_深度21_载荷1_点钟12,feature,驱动端_滚动体_深度21_载荷1_点钟12,,,,,,,,,,,,,
驱动端_滚动体_深度21_载荷2_点钟3,feature,驱动端_滚动体_深度21_载荷2_点钟3,,,,,,,,,,,,,
驱动端_滚动体_深度21_载荷2_点钟6,feature,驱动端_滚动体_深度21_载荷2_点钟6,,,,,,,,,,,,,
驱动端_滚动体_深度21_载荷2_点钟12,feature,驱动端_滚动体_深度21_载荷2_点钟12,,,,,,,,,,,,,
驱动端_滚动体_深度21_载荷3_点钟3,feature,驱动端_滚动体_深度21_载荷3_点钟3,,,,,,,,,,,,,
驱动端_滚动体_深度21_载荷3_点钟6,feature,驱动端_滚动体_深度21_载荷3_点钟6,,,,,,,,,,,,,
驱动端_滚动体_深度21_载荷3_点钟12,feature,驱动端_滚动体_深度21_载荷3_点钟12,,,,,,,,,,,,,
驱动端_内圈_深度7_载荷0_点钟3,feature,驱动端_内圈_深度7_载荷0_点钟3,,,,,,,,,,,,,
驱动端_内圈_深度7_载荷0_点钟6,feature,驱动端_内圈_深度7_载荷0_点钟6,,,,,,,,,,,,,
驱动端_内圈_深度7_载荷0_点钟12,feature,驱动端_内圈_深度7_载荷0_点钟12,,,,,,,,,,,,,
驱动端_内圈_深度7_载荷1_点钟3,feature,驱动端_内圈_深度7_载荷1_点钟3,,,,,,,,,,,,,
驱动端_内圈_深度7_载荷1_点钟6,feature,驱动端_内圈_深度7_载荷1_点钟6,,,,,,,,,,,,,
驱动端_内圈_深度7_载荷1_点钟12,feature,驱动端_内圈_深度7_载荷1_点钟12,,,,,,,,,,,,,
驱动端_内圈_深度7_载荷2_点钟3,feature,驱动端_内圈_深度7_载荷2_点钟3,,,,,,,,,,,,,
驱动端_内圈_深度7_载荷2_点钟6,feature,驱动端_内圈_深度7_载荷2_点钟6,,,,,,,,,,,,,
驱动端_内圈_深度7_载荷2_点钟12,feature,驱动端_内圈_深度7_载荷2_点钟12,,,,,,,,,,,,,
驱动端_内圈_深度7_载荷3_点钟3,feature,驱动端_内圈_深度7_载荷3_点钟3,,,,,,,,,,,,,
驱动端_内圈_深度7_载荷3_点钟6,feature,驱动端_内圈_深度7_载荷3_点钟6,,,,,,,,,,,,,
驱动端_内圈_深度7_载荷3_点钟12,feature,驱动端_内圈_深度7_载荷3_点钟12,,,,,,,,,,,,,
驱动端_内圈_深度14_载荷0_点钟12,feature,驱动端_内圈_深度14_载荷0_点钟12,,,,,,,,,,,,,
驱动端_内圈_深度14_载荷1_点钟3,feature,驱动端_内圈_深度14_载荷1_点钟3,,,,,,,,,,,,,
驱动端_内圈_深度14_载荷1_点钟12,feature,驱动端_内圈_深度14_载荷1_点钟12,,,,,,,,,,,,,
驱动端_内圈_深度14_载荷2_点钟3,feature,驱动端_内圈_深度14_载荷2_点钟3,,,,,,,,,,,,,
驱动端_内圈_深度14_载荷2_点钟12,feature,驱动端_内圈_深度14_载荷2_点钟12,,,,,,,,,,,,,
驱动端_内圈_深度14_载荷3_点钟3,feature,驱动端_内圈_深度14_载荷3_点钟3,,,,,,,,,,,,,
驱动端_内圈_深度14_载荷3_点钟6,feature,驱动端_内圈_深度14_载荷3_点钟6,,,,,,,,,,,,,
驱动端_内圈_深度14_载荷3_点钟12,feature,驱动端_内圈_深度14_载荷3_点钟12,,,,,,,,,,,,,
驱动端_内圈_深度21_载荷0_点钟3,feature,驱动端_内圈_深度21_载荷0_点钟3,,,,,,,,,,,,,
驱动端_内圈_深度21_载荷0_点钟6,feature,驱动端_内圈_深度21_载荷0_点钟6,,,,,,,,,,,,,
驱动端_内圈_深度21_载荷0_点钟12,feature,驱动端_内圈_深度21_载荷0_点钟12,,,,,,,,,,,,,
驱动端_内圈_深度21_载荷1_点钟3,feature,驱动端_内圈_深度21_载荷1_点钟3,,,,,,,,,,,,,
驱动端_内圈_深度21_载荷1_点钟6,feature,驱动端_内圈_深度21_载荷1_点钟6,,,,,,,,,,,,,
驱动端_内圈_深度21_载荷1_点钟12,feature,驱动端_内圈_深度21_载荷1_点钟12,,,,,,,,,,,,,
驱动端_内圈_深度21_载荷2_点钟3,feature,驱动端_内圈_深度21_载荷2_点钟3,,,,,,,,,,,,,
驱动端_内圈_深度21_载荷2_点钟6,feature,驱动端_内圈_深度21_载荷2_点钟6,,,,,,,,,,,,,
驱动端_内圈_深度21_载荷2_点钟12,feature,驱动端_内圈_深度21_载荷2_点钟12,,,,,,,,,,,,,
驱动端_内圈_深度21_载荷3_点钟3,feature,驱动端_内圈_深度21_载荷3_点钟3,,,,,,,,,,,,,
驱动端_内圈_深度21_载荷3_点钟6,feature,驱动端_内圈_深度21_载荷3_点钟6,,,,,,,,,,,,,
驱动端_内圈_深度21_载荷3_点钟12,feature,驱动端_内圈_深度21_载荷3_点钟12,,,,,,,,,,,,,
驱动端_外圈_深度7_载荷0_点钟3,feature,驱动端_外圈_深度7_载荷0_点钟3,,,,,,,,,,,,,
驱动端_外圈_深度7_载荷0_点钟6,feature,驱动端_外圈_深度7_载荷0_点钟6,,,,,,,,,,,,,
驱动端_外圈_深度7_载荷0_点钟12,feature,驱动端_外圈_深度7_载荷0_点钟12,,,,,,,,,,,,,
驱动端_外圈_深度7_载荷1_点钟3,feature,驱动端_外圈_深度7_载荷1_点钟3,,,,,,,,,,,,,
驱动端_外圈_深度7_载荷1_点钟6,feature,驱动端_外圈_深度7_载荷1_点钟6,,,,,,,,,,,,,
驱动端_外圈_深度7_载荷1_点钟12,feature,驱动端_外圈_深度7_载荷1_点钟12,,,,,,,,,,,,,
驱动端_外圈_深度7_载荷2_点钟3,feature,驱动端_外圈_深度7_载荷2_点钟3,,,,,,,,,,,,,
驱动端_外圈_深度7_载荷2_点钟6,feature,驱动端_外圈_深度7_载荷2_点钟6,,,,,,,,,,,,,
驱动端_外圈_深度7_载荷2_点钟12,feature,驱动端_外圈_深度7_载荷2_点钟12,,,,,,,,,,,,,
驱动端_外圈_深度7_载荷3_点钟3,feature,驱动端_外圈_深度7_载荷3_点钟3,,,,,,,,,,,,,
驱动端_外圈_深度7_载荷3_点钟6,feature,驱动端_外圈_深度7_载荷3_点钟6,,,,,,,,,,,,,
驱动端_外圈_深度7_载荷3_点钟12,feature,驱动端_外圈_深度7_载荷3_点钟12,,,,,,,,,,,,,
驱动端_外圈_深度14_载荷0_点钟3,feature,驱动端_外圈_深度14_载荷0_点钟3,,,,,,,,,,,,,
驱动端_外圈_深度14_载荷0_点钟6,feature,驱动端_外圈_深度14_载荷0_点钟6,,,,,,,,,,,,,
驱动端_外圈_深度14_载荷0_点钟12,feature,驱动端_外圈_深度14_载荷0_点钟12,,,,,,,,,,,,,
驱动端_外圈_深度14_载荷1_点钟3,feature,驱动端_外圈_深度14_载荷1_点钟3,,,,,,,,,,,,,
驱动端_外圈_深度14_载荷1_点钟6,feature,驱动端_外圈_深度14_载荷1_点钟6,,,,,,,,,,,,,
驱动端_外圈_深度14_载荷1_点钟12,feature,驱动端_外圈_深度14_载荷1_点钟12,,,,,,,,,,,,,
驱动端_外圈_深度14_载荷2_点钟3,feature,驱动端_外圈_深度14_载荷2_点钟3,,,,,,,,,,,,,
驱动端_外圈_深度14_载荷2_点钟6,feature,驱动端_外圈_深度14_载荷2_点钟6,,,,,,,,,,,,,
驱动端_外圈_深度14_载荷2_点钟12,feature,驱动端_外圈_深度14_载荷2_点钟12,,,,,,,,,,,,,
驱动端_外圈_深度14_载荷3_点钟3,feature,驱动端_外圈_深度14_载荷3_点钟3,,,,,,,,,,,,,
驱动端_外圈_深度14_载荷3_点钟6,feature,驱动端_外圈_深度14_载荷3_点钟6,,,,,,,,,,,,,
驱动端_外圈_深度14_载荷3_点钟12,feature,驱动端_外圈_深度14_载荷3_点钟12,,,,,,,,,,,,,
驱动端_外圈_深度21_载荷0_点钟3,feature,驱动端_外圈_深度21_载荷0_点钟3,,,,,,,,,,,,,
驱动端_外圈_深度21_载荷0_点钟6,feature,驱动端_外圈_深度21_载荷0_点钟6,,,,,,,,,,,,,
驱动端_外圈_深度21_载荷0_点钟12,feature,驱动端_外圈_深度21_载荷0_点钟12,,,,,,,,,,,,,
驱动端_外圈_深度21_载荷1_点钟3,feature,驱动端_外圈_深度21_载荷1_点钟3,,,,,,,,,,,,,
驱动端_外圈_深度21_载荷1_点钟6,feature,驱动端_外圈_深度21_载荷1_点钟6,,,,,,,,,,,,,
驱动端_外圈_深度21_载荷1_点钟12,feature,驱动端_外圈_深度21_载荷1_点钟12,,,,,,,,,,,,,
驱动端_外圈_深度21_载荷2_点钟3,feature,驱动端_外圈_深度21_载荷2_点钟3,,,,,,,,,,,,,
驱动端_外圈_深度21_载荷2_点钟6,feature,驱动端_外圈_深度21_载荷2_点钟6,,,,,,,,,,,,,
驱动端_外圈_深度21_载荷2_点钟12,feature,驱动端_外圈_深度21_载荷2_点钟12,,,,,,,,,,,,,
驱动端_外圈_深度21_载荷3_点钟3,feature,驱动端_外圈_深度21_载荷3_点钟3,,,,,,,,,,,,,
驱动端_外圈_深度21_载荷3_点钟6,feature,驱动端_外圈_深度21_载荷3_点钟6,,,,,,,,,,,,,
驱动端_外圈_深度21_载荷3_点钟12,feature,驱动端_外圈_深度21_载荷3_点钟12,,,,,,,,,,,,,
